Date of collision,Grid,Number of Incidents,Implied vehicules,Serious injury,Light injury,Total victims,Trucks and car,Heavy tractor,Tool equipment,Bus,Bicycle,Moped,Motorcycle,Emergency vehicule,Snowmobile,VHR,Other types,Non-Precise vehicule,Pedestrian death,Pedestrian injury,Pedestrian victims,Motorcycle death,Motorcycle injuries,Motorcycle victims,Bicycle death,Bicycle injury,Bicycle victims,Severity: Inferior damages,Severity: Material damages,Severity: Serious injury,Severity: Light injury,Severity: Death
2012-01-09,GRID_45.624999815|-73.625002695,3,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0
2012-01-10,GRID_45.458333155|-73.625002695,13,25,0,3,3,16,1,1,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,7,3,0,3,0
2012-01-10,GRID_45.458333155|-73.70833602500002,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2012-01-10,GRID_45.458333155|-73.791669355,6,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0
2012-01-10,GRID_45.458333155|-73.875002685,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-01-10,GRID_45.541666485|-73.541669365,25,47,1,6,7,31,1,0,3,1,0,0,3,0,0,0,8,0,2,2,0,0,0,0,1,1,13,5,1,6,0
2012-01-10,GRID_45.541666485|-73.625002695,16,29,0,1,1,22,0,0,1,0,0,0,0,0,0,2,4,0,1,1,0,0,0,0,0,0,12,3,0,1,0
2012-01-10,GRID_45.541666485|-73.70833602500002,3,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0
2012-01-10,GRID_45.624999815|-73.541669365,8,15,1,1,2,11,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,3,3,1,1,0
2012-01-10,GRID_45.624999815|-73.625002695,6,12,0,3,3,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,2,0
2012-01-11,GRID_45.458333155|-73.625002695,14,25,0,1,1,16,0,0,1,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,9,4,0,1,0
2012-01-11,GRID_45.458333155|-73.70833602500002,3,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0
2012-01-11,GRID_45.458333155|-73.791669355,2,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
